,IsLuxury
4815,1
3059,0
985,1
6022,0
6630,1
705,0
2610,0
6914,1
5844,1
6245,1
2043,0
6162,0
2991,1
217,0
5227,0
727,0
1374,0
4760,0
3492,0
4998,1
287,0
1825,0
5240,1
3099,0
686,0
5005,1
5769,1
4460,1
3042,1
6470,1
973,0
1766,0
3012,0
3406,0
3417,0
1147,0
4021,1
492,0
1519,0
5912,1
1114,0
636,0
6826,0
81,0
6308,0
2899,0
3239,0
5919,0
3290,0
6248,1
72,0
5852,1
2934,0
3134,0
1247,0
6169,0
6546,1
6277,1
5851,1
3194,0
6000,1
1078,1
4839,1
1384,0
6959,1
4531,1
756,1
1936,0
2968,0
1851,0
3977,1
1604,0
4365,0
2215,0
1023,0
5390,1
3316,0
1987,0
5444,1
6899,1
4652,1
3698,0
6676,1
2529,0
3908,1
684,0
5614,1
389,0
1576,0
3822,1
2188,0
6156,1
3722,1
4738,1
1759,1
1005,1
1483,0
1961,0
3544,1
22,0
4640,1
6265,1
5990,0
2331,0
3619,1
4421,1
4015,0
5918,1
2506,1
3810,1
2885,0
1503,0
3831,1
689,0
5099,1
3296,0
445,0
1447,1
4999,1
2900,0
1399,0
5439,1
4614,1
273,0
6744,1
6402,1
5952,1
3339,0
4141,1
605,1
4195,1
4816,1
1532,0
1873,0
6326,1
1536,0
4627,1
359,0
6878,1
2093,0
6728,1
486,0
6299,1
4045,1
5377,1
574,0
3005,0
5631,1
6095,1
501,0
3223,1
5414,1
6154,0
1990,0
1771,0
4447,1
6624,1
3554,1
3883,1
5416,1
82,1
2296,0
2040,0
6174,1
1502,0
196,0
4246,1
3169,0
3867,1
4136,0
5666,1
6173,1
1304,0
5947,1
4593,1
6671,0
3001,0
5590,1
5596,1
4532,1
4234,1
428,0
239,0
4224,1
943,0
940,0
6104,1
1793,0
3853,1
1060,0
870,0
6533,1
582,0
2458,0
6372,0
3806,1
5493,1
221,0
4710,1
3321,0
6525,1
342,0
5989,1
3427,0
1298,0
3153,0
5424,1
2975,0
2606,0
4582,1
2992,0
3423,1
1573,0
792,0
2641,0
5483,1
2217,0
4215,1
6243,1
2723,0
4538,1
6477,1
1681,0
3954,1
4090,1
2827,0
5455,1
3579,1
2998,0
5080,1
5900,1
1556,1
4981,1
453,0
4451,1
694,0
4244,1
6362,1
1657,1
5202,1
587,1
5771,1
3696,1
559,0
6042,1
2300,0
5038,1
1628,0
6388,1
1266,0
6551,1
946,0
4955,0
3488,1
2487,0
4493,1
5922,1
3317,1
4896,1
6081,1
4934,1
2570,0
3160,0
4654,1
4606,1
881,0
2362,1
2392,0
6953,1
988,1
2157,0
5206,1
548,1
5831,1
3359,0
6946,0
4272,1
5635,1
3470,0
795,0
6227,1
5907,1
5399,1
6522,1
3862,1
5179,1
3972,1
5827,1
1288,0
3458,0
763,0
1662,0
6752,1
3493,1
2896,0
3969,1
1017,0
5504,1
337,0
592,0
3204,0
4144,1
3984,1
2347,0
4750,1
206,0
1424,1
3829,1
3500,0
4172,1
4360,1
3496,0
3334,0
2839,0
6111,1
6614,1
3041,0
6976,1
5146,1
102,0
5888,1
2076,0
1357,1
4899,1
589,0
4017,1
3305,0
6058,1
2688,0
1228,0
6421,1
289,0
6060,0
6086,1
1758,0
3318,0
2408,0
5879,0
3821,1
5165,0
2176,0
5041,1
2012,1
3729,1
2159,0
3600,1
5333,1
4221,1
6414,1
5285,1
1915,0
958,0
2263,0
1394,1
2966,0
2764,0
6745,0
4267,1
4106,1
5467,1
1091,0
1899,0
2645,0
5496,0
192,1
3847,1
3191,0
5327,1
2229,0
6508,1
3128,1
1881,0
4960,1
1310,0
6812,1
3489,0
3382,0
5978,1
1719,0
5337,1
238,0
304,0
5996,1
6640,1
1676,0
3218,0
3469,0
4688,1
5685,1
2304,0
3939,1
4297,1
3983,0
6211,1
2639,1
4103,0
4581,1
5000,0
2945,0
5799,1
4847,1
783,0
6184,1
392,0
2407,0
4941,1
2836,1
1929,0
4119,0
6427,1
5818,1
3693,1
280,0
1026,0
557,0
1463,1
1669,0
3657,1
1255,1
2804,0
3137,0
5895,1
1016,1
4315,1
6722,0
5543,0
5669,1
3828,1
5111,1
2983,0
4621,1
6754,1
2694,0
1768,0
1403,0
6314,1
4781,1
6906,0
846,1
5156,1
779,0
5921,1
5843,1
4498,1
1396,1
4344,1
931,0
4608,1
5692,1
1238,0
5328,1
1011,0
6403,0
3577,1
1642,0
6753,1
5270,1
1386,0
3015,0
2857,0
4167,1
2807,0
4206,1
4108,0
6315,1
2623,1
6155,1
2488,0
5732,1
4580,1
854,0
5263,1
2366,0
1453,0
537,0
1710,0
1697,0
2406,0
3762,1
5257,1
3411,0
4071,1
5511,1
6854,1
3678,1
6767,1
4260,0
6874,1
3571,1
6279,1
3738,1
4977,1
2675,0
4604,1
367,0
804,0
4482,1
4190,1
3953,1
4991,0
566,0
3607,1
2685,0
6366,1
5840,1
1577,0
6216,1
507,0
5183,0
2351,0
159,0
98,0
5309,1
4402,1
1198,0
667,1
858,0
246,0
6980,1
5929,1
1549,0
996,0
3667,1
3207,0
6439,1
4762,1
5471,1
5675,1
2809,0
6150,1
6667,1
1381,0
6474,1
4826,1
6851,1
5544,1
4147,1
4924,0
6510,1
6683,1
556,0
3924,1
1406,0
993,0
5797,1
5392,1
4769,1
2847,0
4558,1
4016,1
5702,1
791,0
5821,1
5752,1
2852,0
995,0
4068,1
3652,1
4040,1
934,0
3836,1
1954,0
1783,0
2355,0
1734,0
700,0
5537,1
2098,0
2692,0
344,0
6757,1
6821,1
2394,0
2739,0
1081,0
4257,1
3273,0
6181,1
850,0
4719,1
4148,1
524,0
6005,1
2687,0
4107,1
323,0
5162,1
5367,1
2740,0
4277,1
1893,0
4659,1
3253,0
4002,1
3525,1
5290,1
5,0
1729,0
6336,1
1297,0
3142,0
4076,1
3201,0
6581,1
4239,1
6238,1
6031,1
616,0
575,0
3612,1
3351,1
976,0
3645,1
639,0
4906,1
2539,0
3676,1
5713,1
5311,1
1828,0
3281,0
5260,1
5865,1
1179,0
288,0
513,0
5798,1
1385,1
5581,1
987,1
432,0
4591,1
588,0
3397,0
3022,0
6808,1
3922,1
847,0
2567,0
4511,1
62,0
2136,0
1225,0
2340,0
4324,1
2459,0
108,0
517,0
4497,1
5255,1
5055,1
3916,1
1621,0
757,1
3743,1
1039,0
6535,0
3909,1
5946,1
3625,1
1437,0
5232,1
348,0
1566,0
3697,1
2106,0
1833,0
4736,1
1413,0
3985,1
2349,0
