,Price
4815,630994.2869
3059,164483.0394
985,131801.5547
6022,755262.7602
6630,297752.7272
705,173003.994
2610,238850.653
6914,351798.8598
5844,469787.4253
6245,298680.9437
2043,115585.1555
6162,335869.6815
2991,174486.9737
217,180416.2472
5227,297734.5705
727,256951.6967
1374,209554.4884
4760,524952.7752
3492,228007.9217
4998,514357.4585
287,212120.0921
1825,160415.9956
5240,459853.5182
3099,220430.4193
686,197997.101
5005,451640.8314
5769,404050.905
4460,281200.9996
3042,247865.2916
6470,311568.8533
973,181669.9418
1766,167472.0815
3012,123607.752
3406,213153.8592
3417,258261.7063
1147,168127.408
4021,619336.2494
492,158717.4633
1519,166175.7552
5912,329247.9503
1114,122436.7116
636,146057.4532
6826,290976.1554
81,136734.5207
6308,291226.6805
2899,187035.2859
3239,148416.2628
5919,406264.4939
3290,173899.5665
6248,329381.0779
72,192613.5071
5852,447754.7187
2934,195413.4724
3134,177565.4235
1247,134713.424
6169,351747.2649
6546,803240.5875
6277,349899.8075
5851,440762.3342
3194,103947.6295
6000,372977.0263
1078,160724.8169
4839,674874.6858
1384,213524.6477
6959,369014.675
4531,409878.8723
756,214713.2961
1936,176531.527
2968,232474.8527
1851,238916.7137
3977,505005.466
1604,247617.3432
4365,658431.2798
2215,268454.0863
1023,204027.4388
5390,296943.6869
3316,184298.8701
1987,191978.5615
5444,476623.2329
6899,290723.6744
4652,547107.722
3698,620485.497
6676,410418.3467
2529,136788.5121
3908,458241.994
684,149637.461
5614,319668.9235
389,269320.9444
1576,209444.539
3822,477452.2338
2188,195361.7896
6156,388979.5251
3722,596871.5103
4738,520564.0123
1759,120950.5722
1005,190364.4617
1483,112294.6508
1961,241041.2506
3544,410697.6667
22,166647.5865
4640,652006.0813
6265,351705.5407
5990,284596.5952
2331,163561.6621
3619,301380.6057
4421,364630.6228
4015,455628.2404
5918,353743.8786
2506,188120.709
3810,417295.1059
2885,109352.9138
1503,184023.9313
3831,334482.7915
689,190445.474
5099,418251.3239
3296,233723.6552
445,251869.3825
1447,223063.3335
4999,400789.3699
2900,229358.8883
1399,226528.3599
5439,426579.6287
4614,283290.1531
273,268779.6379
6744,620197.351
6402,503936.996
5952,443878.1302
3339,247243.8197
4141,370966.7021
605,156294.8951
4195,320500.8382
4816,454868.9924
1532,162349.4198
1873,168172.0172
6326,407297.9846
1536,200174.3644
4627,849297.2307
359,92938.70913
6878,705950.4528
2093,200222.2152
6728,490827.0104
486,277628.6859
6299,366993.5218
4045,330299.8118
5377,319396.2929
574,207302.7121
3005,185710.7023
5631,434302.9891
6095,588288.5704
501,113969.9106
3223,268997.6092
5414,319871.6826
6154,319023.7068
1990,106891.317
1771,214948.975
4447,470273.5243
6624,548417.5068
3554,281768.783
3883,508327.047
5416,579828.7902
82,191467.3252
2296,180340.2414
2040,259399.4915
6174,313625.2758
1502,169402.8034
196,225552.1553
4246,318018.4118
3169,107538.0376
3867,300761.3612
4136,455248.5557
5666,535154.4711
6173,289920.2097
1304,221443.7773
5947,325581.8346
4593,333708.0442
6671,458340.5494
3001,114055.9299
5590,287895.6731
5596,360527.6946
4532,533515.2737
4234,527756.2985
428,256709.7659
239,272557.0395
4224,383100.28
943,262534.9921
940,262366.2693
6104,558155.1768
1793,218414.7041
3853,332259.4237
1060,268485.508
870,161052.3668
6533,327626.1061
582,155726.5703
2458,270706.3543
6372,728421.5303
3806,373445.2218
5493,445058.7417
221,124786.2402
4710,434618.9425
3321,237962.8901
6525,832364.5386
342,212750.9135
5989,303919.7476
3427,251908.1907
1298,239730.0695
3153,106958.5657
5424,468264.3781
2975,158526.3876
2606,173399.3359
4582,419842.9604
2992,255979.6826
3423,224747.4841
1573,167473.2486
792,257070.3771
2641,191893.9135
5483,430935.5967
2217,149706.996
4215,290215.0327
6243,699204.7702
2723,270524.0295
4538,600334.0605
6477,334532.0755
1681,135379.6073
3954,585684.5332
4090,604141.8781
2827,267710.7195
5455,318960.2502
3579,292393.51
2998,177099.3657
5080,483033.3232
5900,621514.0038
1556,255114.2111
4981,518804.1995
453,136281.9799
4451,471552.2626
694,211064.3934
4244,409778.0401
6362,289653.3039
1657,146672.15
5202,366361.8071
587,173633.0734
5771,354930.9638
3696,329601.4479
559,268927.7861
6042,558724.6168
2300,95470.82672
5038,459906.7584
1628,131853.8666
6388,320930.4065
1266,238860.0183
6551,296158.0813
946,124287.4584
4955,583594.3052
3488,149113.8024
2487,208876.8089
4493,476432.9727
5922,332962.2617
3317,152273.9906
4896,488872.2089
6081,626404.882
4934,361972.9183
2570,153297.265
3160,171317.9705
4654,497737.6711
4606,417207.8893
881,229867.2818
2362,96645.45592
2392,278513.7448
6953,283872.353
988,130804.6513
2157,261273.8014
5206,358166.2244
548,252928.8126
5831,632980.112
3359,207425.5683
6946,285544.6458
4272,400906.5969
5635,397236.8931
3470,244039.7009
795,245663.2987
6227,289352.8122
5907,340863.3536
5399,312287.0828
6522,360053.6851
3862,293872.7446
5179,302981.5026
3972,554080.7887
5827,345709.3186
1288,199372.794
3458,220449.0188
