,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,Floors,Windows,PreviousSalePrice,IsLuxury,Fireplace_Yes,HouseColor_Green,HouseColor_Red,HouseColor_White,HouseColor_Yellow,Garage_Yes
4815,1654.51,3.135423706,3,607.02,45.26,7.41,33.34,30.95,93.86,2.0,5.41,7.02,6.05,2,10,838599.1653,1,1,0,0,0,0,0
3059,768.26,1.747468239,2,326.59,46.28,6.25,35.25,14.54,95.0,2.04,1.6,2.47,5.11,1,13,79642.57224,0,0,0,0,0,0,0
985,1153.1,1.615257539,1,369.2,17.98,4.22,116.4,26.08,82.91,1.62,5.91,10.0,7.2,1,20,48828.67409,1,0,0,0,1,0,0
6022,1766.78,3.986095008,3,495.96,53.11,8.88,14.44,30.07,97.63,0.94,3.73,7.92,6.85,1,24,535465.4244,0,0,0,1,0,0,1
6630,1994.58,3.043046984,2,375.71,1.9,4.73,44.95,0.14,94.39,1.04,3.33,9.6,7.8,1,15,436417.34,1,0,0,0,0,1,0
705,650.11,2.29499134,3,289.51,54.51,6.24,59.94,10.25,91.52,1.73,5.48,5.98,8.25,1,9,227675.6407,0,0,0,0,0,0,0
2610,851.29,1.0,5,522.92,9.66,8.8,3.66,34.27,96.71,0.53,6.9,5.73,5.65,1,20,373704.2354,0,0,0,0,1,0,0
6914,1038.32,2.146735189,2,28.15,32.96,6.04,91.55,28.09,99.9,1.26,5.34,6.39,7.09,1,13,484340.2167,1,0,0,0,0,1,1
5844,1015.62,1.0,5,1127.22,73.91,7.01,70.79,21.1,99.9,1.7,6.5,4.16,5.92,1,23,381498.329,1,0,1,0,0,0,0
6245,1042.03,1.230345008,3,445.34,1.43,9.8,22.71,34.04,93.68,1.16,5.01,7.52,5.86,1,0,210850.539,1,0,0,0,1,0,1
2043,550.0,1.0,2,593.84,4.14,4.6,64.78,36.63,86.18,1.74,5.13,10.0,9.03,1,10,12505.96291,0,0,0,1,0,0,1
6162,1737.13,1.0,4,506.46,18.63,5.96,66.21,10.4,99.0,1.38,3.77,5.81,2.24,1,14,383700.2319,0,0,0,1,0,0,1
2991,826.39,1.0,3,409.46,0.06,8.76,50.24,24.89,92.49,1.38,3.97,3.63,3.89,1,16,56646.99442,1,0,0,1,0,0,0
217,1018.92,1.0,1,1069.2,60.88,3.63,78.78,39.49,96.42,1.91,3.53,1.49,7.45,2,60,110643.4367,0,0,0,0,1,0,0
5227,1608.93,2.999244653,4,276.48,33.73,6.36,30.1,16.05,96.76,1.71,4.57,4.9,5.27,1,12,435483.1346,0,0,1,0,0,0,0
727,550.0,3.094713119,3,346.81,34.1,6.56,24.12,16.11,83.47,1.64,5.54,6.28,5.02,1,22,126214.6734,0,0,0,1,0,0,0
1374,550.0,1.53055204,3,121.95,45.67,6.81,7.5,14.48,91.19,2.16,3.13,8.74,6.38,1,10,117750.0781,0,0,0,0,1,0,0
4760,1290.48,1.388925605,4,436.65,10.65,9.74,30.57,9.48,96.67,1.12,6.8,9.74,5.79,1,19,422199.1312,0,0,1,0,0,0,0
3492,745.2,1.356797549,3,642.3,9.3,10.0,28.63,0.98,99.9,0.65,4.86,5.61,8.2,1,17,149542.451,0,0,0,0,0,1,1
4998,1528.82,3.637801014,3,377.02,21.15,9.83,19.88,23.76,92.05,0.17,7.05,4.62,6.53,2,47,450139.0652,1,0,1,0,0,0,1
287,550.0,2.820423083,4,447.98,53.27,9.39,29.22,28.28,89.1,2.13,6.84,1.97,4.1,1,15,83590.6379,0,1,1,0,0,0,1
